Candidate,Source evidence,Implementation status,External pressure,Recommended treatment,Decisive next test
Contract-anchored generative result admission,"Raw trace: ResultSchema enters receipt; AdmissionState added; consumer requires ADMITTED; live REJECTED-to-UNASSESSED defect repaired","RAW_TRACE_SUPPORTED; not independently rerun","Structured Outputs; JSON Schema; output-validation patents; HALO","Primary family; prepare counsel claim chart","Same bytes under two contract identities with different downstream admission"
Cross-layer status preservation,"Executor validation error was weakened by scheduler before repair; candidate consumer later gated","RAW_TRACE_SUPPORTED","Workflow state machines; runtime verification; error propagation","Core limitation of primary family","Real CLI path must preserve REJECTED through executor/scheduler/receipt/consumer/replay"
Replay-time current-condition re-admission,"Capsule reference reevaluates currentness/revocation/repo/environment; full stored-result consequence replay not shown","PARTIAL / NOT FULLY IMPLEMENTED","HALO fresh pre-dispatch recheck; authorization systems; event replay","Continuation/HOLD","Previously ARCHIVE-admitted bytes requested for EXECUTE without current grant"
Receipt-witnessed occurrence continuity,"OccurrenceID recomputed from content+receipt; lineage receipt witnessed by occurrence","RAW_TRACE_SUPPORTED","W3C PROV; SLSA; attestation systems","Dependent claims / continuation","Tamper receipt only; preserve content multiplicity; reject unwitnessed lineage"
Atomic publication,"Failed publish previously could leave orphan receipt; ordering repaired","RAW_TRACE_SUPPORTED","Transactions; atomic commit; event sourcing","Dependent embodiment","Forced publish failure must leave no durable publication receipt"
Historical-vs-current competence,"Receipt/piece persistence repaired; is_verified historical presence no longer unlocks stale dependency; terminal states blocked at alternate ingress","RAW_TRACE_SUPPORTED","Event sourcing; CQRS; state machines","Dependent embodiment / replay support","Persist, invalidate/supersede, reload, and attempt readiness/lease/external admission"
Consequence quotient gate,"GateConsequenceQuotient and focused tests referenced","PARTIAL TRACE SUPPORT","Bisimulation; minimal ITS; HALO; policy abstraction","HOLD","Over-collapse and over-preservation negative controls under explicit C,B,P"
Observation selection witness,"PDFs claim witness and unresolved enum; later repository search says exact symbols absent","NOT IMPLEMENTED AS CLAIMED","Value of information; sensor selection; proof certificates","HOLD","Implement denominator-bound witness; UNKNOWN and XOR controls"
Quiescence certificate,"Reports describe active_work=0 and NONE; no established controller consumer","REPORT_DERIVED_CANDIDATE","Termination detection; workflow stop proofs","HOLD","Counterfeit quiescence and in-flight process tests with actual controller"
Self-prompt controller,"Prompt lineage and methodology supplied","RESEARCH METHOD; RUNTIME NOT ESTABLISHED","Self-Refine; Reflexion","Reject broad standalone","State-change-triggered prompt expiry and bounded stop in executable controller"
Generic state admission engine,"Multiple reports propose it; capsule has bounded authorization reference","OVERBROAD / PARTIAL","HALO; policy engines; runtime verification; security admission","Narrow into contract/consequence-specific family","Identify computation absent from close art and prove actual consumer effect"
Generic provenance/justification graph,"Hashes, receipts, lineage and sidecars throughout","CROWDED","W3C PROV; SLSA; in-toto; event sourcing","Reject standalone; use as dependent structure","Show a provenance relation directly changes admission or invalidation"
